Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:13.11Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:10.27
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:21.37Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:18.22
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:9.47Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:6.33
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:17.46Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:14.32
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:25.48Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:22.33
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:13.51Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:10.37
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:21.57Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:18.42
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:9.52Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:6.37
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:17.61Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:14.47
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:25.72Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:22.58
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:13.61Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:12.50
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:21.76Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:18.62
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:13.66Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:6.42
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:17.76Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:14.61
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:9.59Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:6.45
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:13.71Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:10.57
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:26.09Device: 1 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:18.81
