Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:90.63Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:90.70Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:90.70Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:90.70Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:90.70Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:90.70Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:90.70Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:90.70Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:90.70Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:89.13Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:89.14Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
