Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:42.48Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:42.48Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:42.48Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:42.48Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:45.90Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:45.90Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:45.90Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:45.90Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:45.90Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:45.90Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:45.90Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
