Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:8.24
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:26.17
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:28.26
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:23.96
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:24.62
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:25.95
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:27.05
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:18.55
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:23.78
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:25.00
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:25.99
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:28.26
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:23.59
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:24.19
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:24.61
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:25.92
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:28.03
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:24.16
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:25.07
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:25.95
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:27.05
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:28.42
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:24.63
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:25.12
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:26.01
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:28.17
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:23.83
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:24.58
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:25.15
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:27.05
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:28.26
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:23.73
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:24.60
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:25.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:28.08
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:23.60
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:24.59
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:25.12
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:27.04
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:28.26
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:23.89
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:24.58
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:25.12
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:27.05
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:24.60
Device: 0 | Name: b'NVIDIA A100-SXM4-80GB' | Mem used:26.75
